riscv_trap hart:0, async:0, cause:11, epc:0x800014f6, tval:0x0, desc=machine_ecall
riscv_cpu_do_interrupt: hart:0, async:0, cause:0000000b, epc:0x800014f6, tval:0x00000000, desc=machine_ecall
riscv_trap hart:0, async:1, cause:7, epc:0x800001f4, tval:0x0, desc=m_timer
riscv_cpu_do_interrupt: hart:0, async:1, cause:00000007, epc:0x800001f4, tval:0x00000000, desc=m_timer
riscv_trap hart:0, async:0, cause:11, epc:0x80000eb4, tval:0x0, desc=machine_ecall
riscv_cpu_do_interrupt: hart:0, async:0, cause:0000000b, epc:0x80000eb4, tval:0x00000000, desc=machine_ecall
riscv_trap hart:0, async:1, cause:7, epc:0x8000086c, tval:0x0, desc=m_timer
riscv_cpu_do_interrupt: hart:0, async:1, cause:00000007, epc:0x8000086c, tval:0x00000000, desc=m_timer
riscv_trap hart:0, async:1, cause:7, epc:0x8000086c, tval:0x0, desc=m_timer
riscv_cpu_do_interrupt: hart:0, async:1, cause:00000007, epc:0x8000086c, tval:0x00000000, desc=m_timer
riscv_trap hart:0, async:1, cause:7, epc:0x8000086c, tval:0x0, desc=m_timer
riscv_cpu_do_interrupt: hart:0, async:1, cause:00000007, epc:0x8000086c, tval:0x00000000, desc=m_timer
riscv_trap hart:0, async:1, cause:7, epc:0x8000086c, tval:0x0, desc=m_timer
riscv_cpu_do_interrupt: hart:0, async:1, cause:00000007, epc:0x8000086c, tval:0x00000000, desc=m_timer
riscv_trap hart:0, async:1, cause:7, epc:0x8000086c, tval:0x0, desc=m_timer
riscv_cpu_do_interrupt: hart:0, async:1, cause:00000007, epc:0x8000086c, tval:0x00000000, desc=m_timer
riscv_trap hart:0, async:1, cause:7, epc:0x8000086c, tval:0x0, desc=m_timer
riscv_cpu_do_interrupt: hart:0, async:1, cause:00000007, epc:0x8000086c, tval:0x00000000, desc=m_timer
riscv_trap hart:0, async:1, cause:7, epc:0x8000086c, tval:0x0, desc=m_timer
riscv_cpu_do_interrupt: hart:0, async:1, cause:00000007, epc:0x8000086c, tval:0x00000000, desc=m_timer
riscv_trap hart:0, async:1, cause:7, epc:0x8000086c, tval:0x0, desc=m_timer
riscv_cpu_do_interrupt: hart:0, async:1, cause:00000007, epc:0x8000086c, tval:0x00000000, desc=m_timer
riscv_trap hart:0, async:1, cause:7, epc:0x8000086c, tval:0x0, desc=m_timer
riscv_cpu_do_interrupt: hart:0, async:1, cause:00000007, epc:0x8000086c, tval:0x00000000, desc=m_timer
